productId,displayName,brandName,listPrice,discountPrice,rating,ratingCount,isOutOfStock,url
85667,"California Gold Nutrition, CLA, Clarinol, 복합 리놀레산, 1,000mg, 소프트젤 90정",California Gold Nutrition (캘리포니아 골드 뉴트리션),"₩29,668","₩22,251",4.6,3087,False,https://kr.iherb.com/pr/california-gold-nutrition-cla-conjugated-linoleic-acid-1-000-mg-90-veggie-softgels/85667
107239,"California Gold Nutrition, 뷰티, 폐경기 증상 완화 보충제, 참당귀, 키난쿰 윌포르디, 속단, L-류신 함유, 베지 캡슐 90정",California Gold Nutrition (캘리포니아 골드 뉴트리션),"₩70,076","₩52,557",4.6,5993,False,https://kr.iherb.com/pr/california-gold-nutrition-beauty-menopause-support-with-angelica-gigas-cynanchum-wilfordii-phlomis-umbrosa-and-l-leucine-90-veggie-capsules/107239
124731,"California Gold Nutrition, 오메가3-6-9, 오메가3 피쉬 오일 및 보리지 씨오일, EPA, DHA, GLA, 리놀레산 함유, 천연 레몬향, 피쉬 젤라틴 소프트젤 180정",California Gold Nutrition (캘리포니아 골드 뉴트리션),"₩49,967","₩37,476",4.8,5434,False,https://kr.iherb.com/pr/california-gold-nutrition-omega-3-6-9s-with-omega-3-fish-oil-and-borage-seed-oil-epa-dha-gla-and-linoleic-acid-natural-lemon-180-fish-gelatin-softgels/124731
89919,"California Gold Nutrition, 스포츠, 식물성 단백질, 유기농 현미 단백질 농축물, 아마씨, 치아씨, 계피 번 함유, 907g(2lb)",California Gold Nutrition (캘리포니아 골드 뉴트리션),"₩73,110","₩54,833",4.4,4508,False,https://kr.iherb.com/pr/california-gold-nutrition-sport-plant-based-protein-with-organic-brown-rice-protein-concentrate-flaxseed-chia-seed-cinnamon-bun-2-lb-907-g/89919
145022,"California Gold Nutrition, 콜라겐 펩타이드, 프리바이오틱 섬유소 및 필수 아미노산 함유 GLP-1 지원 포뮬라, 수박 및 유자 맛, 494g(1.09lb)",California Gold Nutrition (캘리포니아 골드 뉴트리션),"₩60,810","₩31,569",4.6,849,False,https://kr.iherb.com/pr/california-gold-nutrition-glp-1-support-formula-with-collagen-peptides-prebiotic-fiber-essential-amino-acids-watermelon-yuzu-1-09-lb-494-g/145022
89093,"California Gold Nutrition, 식품, 크랜베리 & 아몬드 츄이 그래놀라 바, 12개입, 각 40g (1.4 oz)",California Gold Nutrition (캘리포니아 골드 뉴트리션),"₩27,138","₩18,423",4.6,8256,False,https://kr.iherb.com/pr/california-gold-nutrition-foods-cranberry-almond-chewy-granola-bars-12-bars-1-4-oz-40-g-each/89093
88969,"California Gold Nutrition, 식품, 모카 넛 츄이 그래놀라 바, 12개, 각 1.4 oz (40g)",California Gold Nutrition (캘리포니아 골드 뉴트리션),"₩27,138","₩18,423",4.6,6264,False,https://kr.iherb.com/pr/california-gold-nutrition-foods-mocha-nut-chewy-granola-bars-12-bars-1-4-oz-40-g-each/88969
97386,"California Gold Nutrition, D-리보오스 분말, 무맛, 300g(10.6oz)",California Gold Nutrition (캘리포니아 골드 뉴트리션),"₩44,237","₩33,178",4.7,1727,False,https://kr.iherb.com/pr/california-gold-nutrition-d-ribose-powder-unflavored-10-6-oz-300-g/97386
142032,"California Gold Nutrition, GLP-1 지원 포뮬라, 콜라겐 펩타이드, 프리바이오틱 섬유소 및 필수 아미노산 함유, 무맛, 410g(14.46oz)",California Gold Nutrition (캘리포니아 골드 뉴트리션),"₩47,863","₩35,898",4.6,335,False,https://kr.iherb.com/pr/california-gold-nutrition-glp-1-support-formula-with-collagen-peptides-prebiotic-fiber-essential-amino-acids-unflavored-14-46-oz-410-g/142032
148380,"California Gold Nutrition, 스포츠, Creatine Sports Formula™, 아미노산 혼합물, 베타-알라닌, 비트즙, 코코넛 함유, 514g(1.13lb)",California Gold Nutrition (캘리포니아 골드 뉴트리션),"₩64,811","₩48,609",4.2,57,False,https://kr.iherb.com/pr/california-gold-nutrition-sport-creatine-sports-formula-with-amino-acid-blend-beta-alanine-beet-juice-coconut-1-13-lb-514-g/148380
